max_score,draw_margin,outcome_weight,gd_weight,prior_weight,mode,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
6,0.0,0.35,0.03,0.06,outcome_aware,3.002770884133499,1.027324658838464,0.09704855601396382,0.580704538241828,0.22818152967311964
7,0.0,0.35,0.03,0.06,outcome_aware,3.003076461913215,1.0275468105363377,0.09685814027292923,0.580704538241828,0.22799111393208504
5,0.0,0.35,0.03,0.06,outcome_aware,3.0048162418942304,1.0281497937162805,0.09641383687718184,0.580704538241828,0.22780069819105045
6,0.0,0.35,0.0,0.06,outcome_aware,3.004891295281379,1.0301174230403047,0.09558870199936528,0.5815931450333227,0.22596001269438273
6,0.0,0.35,0.06,0.03,outcome_aware,3.0049109639523555,1.0271977150111076,0.09717549984132022,0.5802602348460806,0.22830847350047603
7,0.0,0.35,0.0,0.06,outcome_aware,3.005094928087385,1.0303395747381783,0.09533481434465249,0.5815931450333227,0.22570612503966994
6,0.0,0.35,0.03,0.03,outcome_aware,3.0051868446154923,1.0287845128530626,0.09603300539511267,0.5810853697238971,0.22564265312599174
7,0.0,0.35,0.06,0.03,outcome_aware,3.005243931898714,1.0274198667089813,0.09698508410028563,0.5802602348460806,0.22811805775944144
7,0.0,0.35,0.03,0.03,outcome_aware,3.0053409303456573,1.028974928594097,0.09584258965407808,0.5810853697238971,0.22545223738495715
6,0.0,0.35,0.1,0.06,outcome_aware,3.006779393332518,1.0239606474135194,0.09806410663281498,0.57429387496033,0.23014915899714378
6,0.0,0.35,0.06,0.0,outcome_aware,3.0067952858798637,1.0284671532846716,0.09635036496350365,0.5808949539828626,0.22653125991748652
6,0.0,0.35,0.06,0.06,outcome_aware,3.006975594327321,1.0258965407807046,0.0974928594097112,0.5779117740399873,0.22881624880990162
7,0.0,0.35,0.06,0.0,outcome_aware,3.0069936847284833,1.028657569025706,0.09622342113614725,0.5808949539828626,0.22640431609013012
5,0.0,0.35,0.0,0.06,outcome_aware,3.0071257608410127,1.0310377657886385,0.0948905109489051,0.5815931450333227,0.22551570929863535
6,0.0,0.35,0.06,0.01,outcome_aware,3.0072602517650484,1.0278959060615678,0.09685814027292923,0.5805775944144715,0.2271025071405903
7,0.0,0.35,0.1,0.06,outcome_aware,3.007303906626677,1.0242145350682323,0.09787369089178038,0.57429387496033,0.22995874325610918
7,0.0,0.35,0.06,0.06,outcome_aware,3.0073432840463155,1.0261186924785781,0.09730244366867662,0.5779117740399873,0.22862583306886702
5,0.0,0.35,0.06,0.03,outcome_aware,3.0073703242356538,1.0281497937162805,0.09654078070453824,0.5802602348460806,0.22805458584576324
7,0.0,0.35,0.06,0.01,outcome_aware,3.0076395359346253,1.0281497937162805,0.09673119644557283,0.5805775944144715,0.2269755633132339
5,0.0,0.35,0.03,0.03,outcome_aware,3.0076624335541915,1.0298000634719138,0.09539828625833069,0.5810853697238971,0.22538876547127895
6,0.0,0.35,0.03,0.01,outcome_aware,3.0076731771013443,1.0299270072992701,0.09571564582672168,0.5821643922564266,0.22519834973024436
6,0.0,0.35,0.1,0.03,outcome_aware,3.0077795659425246,1.0252300856870835,0.09736591558235481,0.5756267851475722,0.2293240241193272
7,0.0,0.35,0.03,0.01,outcome_aware,3.007980746307476,1.0301491589971437,0.09558870199936528,0.5821643922564266,0.22507140590288796
7,0.0,0.35,0.1,0.03,outcome_aware,3.008110373916248,1.025452237384957,0.09723897175499842,0.5756267851475722,0.2291970802919708
6,0.0,0.35,0.1,0.01,outcome_aware,3.0081234799846173,1.0260869565217392,0.09692161218660743,0.5772135829895272,0.22881624880990162
7,0.0,0.35,0.1,0.01,outcome_aware,3.0083076615767506,1.0262456363059347,0.09685814027292923,0.5772135829895272,0.22875277689622342
6,0.0,0.35,0.1,0.0,outcome_aware,3.0083815837116314,1.0269120913995557,0.09654078070453824,0.5778483021263091,0.22881624880990162
7,0.0,0.35,0.1,0.0,outcome_aware,3.008523916415494,1.0270707711837512,0.09647730879086004,0.5778483021263091,0.22875277689622342
6,0.0,0.35,0.0,0.03,outcome_aware,3.0086323487755706,1.0318946366232942,0.0950174547762615,0.5831799428752776,0.2245636305934624
7,0.0,0.35,0.0,0.03,outcome_aware,3.0090120598796695,1.032148524278007,0.0948270390352269,0.5831799428752776,0.2243732148524278
5,0.0,0.35,0.06,0.06,outcome_aware,3.00902352637164,1.0267534116153603,0.09685814027292923,0.5779117740399873,0.22849888924151063
5,0.0,0.35,0.1,0.06,outcome_aware,3.0094510577164577,1.0250079339892098,0.0974928594097112,0.57429387496033,0.22995874325610918
5,0.0,0.35,0.06,0.0,outcome_aware,3.009696467999163,1.0296096477308792,0.09571564582672168,0.5808949539828626,0.22627737226277372
5,0.0,0.35,0.06,0.01,outcome_aware,3.009851263741897,1.028911456680419,0.09628689304982545,0.5805775944144715,0.2269120913995557
5,0.0,0.35,0.03,0.01,outcome_aware,3.010351209289602,1.0310377657886385,0.0950809266899397,0.5821643922564266,0.22494446207553156
6,0.0,0.35,0.0,0.01,outcome_aware,3.0103602060206245,1.0330371310695017,0.09355760076166296,0.5838146620120597,0.22234211361472547
6,0.0,0.35,0.03,0.0,outcome_aware,3.0104645572792457,1.0311012377023168,0.0948270390352269,0.5819105046017138,0.22424627102507141
7,0.0,0.35,0.03,0.0,outcome_aware,3.0107126124502805,1.0313233894001905,0.09470009520787051,0.5819105046017138,0.22411932719771502
7,0.0,0.35,0.0,0.01,outcome_aware,3.010717431549172,1.0332910187242146,0.09343065693430656,0.5838146620120597,0.22221516978736908
6,0.0,0.35,0.0,0.0,outcome_aware,3.0108228194229842,1.0337035861631227,0.09311329736591559,0.5843224373214853,0.2220247540463345
5,0.0,0.35,0.1,0.03,outcome_aware,3.0108646093533133,1.0264677880038082,0.09673119644557283,0.5756267851475722,0.2290701364646144
5,0.0,0.35,0.1,0.01,outcome_aware,3.0109099369133956,1.0271659790542684,0.09628689304982545,0.5772135829895272,0.22856236115518883
