mode,max_score,classifier_weight,gd_weight,prior_weight,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
classifier_aware,4,0.75,0.1,0.06,2.9825615375092593,1.0226580350342727,0.09958111195734957,0.5919649657273419,0.2303884234577304
classifier_aware,4,0.5,0.0,0.01,2.9827349035037067,1.022880172632648,0.10008885503935008,0.5900609291698401,0.23311754252348313
classifier_aware,4,0.5,0.0,0.0,2.9833582314641554,1.0235465854277734,0.0997080477278497,0.5903782685960903,0.23305407463823305
classifier_aware,4,0.5,0.0,0.06,2.983372205973813,1.0211982736735212,0.10104087331810103,0.5879030210713379,0.23362528560548362
classifier_aware,4,0.5,0.03,0.06,2.9837225033431496,1.0208809342472709,0.1012947448591013,0.5874587458745875,0.2338156892612338
classifier_aware,4,0.5,0.0,0.03,2.98482598548591,1.022911906575273,0.09958111195734957,0.588981975120589,0.2322924600152323
classifier_aware,4,0.5,0.1,0.06,2.986057080033213,1.0193577050012694,0.10066006600660066,0.5858720487433359,0.23216552424473216
classifier_aware,4,0.75,0.06,0.06,2.9868806787924083,1.0242129982228991,0.09977151561309977,0.5917745620715917,0.23051535922823052
classifier_aware,4,0.5,0.06,0.06,2.9873364265719244,1.0205635948210205,0.1012947448591013,0.5868875349073369,0.2333079461792333
classifier_aware,4,0.75,0.1,0.03,2.9873924895101696,1.024149530337649,0.0992003046458492,0.5917110941863417,0.2291825336379792
classifier_aware,5,0.75,0.1,0.06,2.987832570318388,1.023990860624524,0.09786747905559787,0.5919649657273419,0.2284209190149784
classifier_aware,4,0.5,0.03,0.03,2.9880077531219196,1.0221502919522722,0.10072353389185072,0.5883472962680883,0.232990606752983
classifier_aware,4,0.75,0.0,0.06,2.9880137537664626,1.0254188880426505,0.10002538715410003,0.5930439197765931,0.23172124904798172
classifier_aware,4,0.5,0.03,0.01,2.9881322932355383,1.022975374460523,0.10040619446560041,0.5892993145468393,0.23292713886773292
classifier_aware,5,0.5,0.03,0.06,2.9884890735086804,1.021832952526022,0.09951764407209952,0.5874587458745875,0.2319116527037319
classifier_aware,4,0.75,0.1,0.01,2.9886540185547106,1.0249111449606498,0.09894643310484895,0.5922823051535923,0.2291190657527291
classifier_aware,4,0.5,0.06,0.0,2.9886846819536146,1.0224676313785224,0.10027925869510028,0.5888550393500889,0.2322924600152323
classifier_aware,5,0.5,0.0,0.06,2.9888182042330493,1.0224676313785224,0.09913683676059913,0.5879030210713379,0.23165778116273167
classifier_aware,4,0.75,0.03,0.03,2.988861232185746,1.0257044935262758,0.09983498349834984,0.5931708555470931,0.23089616653973088
classifier_aware,4,0.35,0.0,0.06,2.9888861220664413,1.0185643564356435,0.10148514851485149,0.5816831683168316,0.23584666158923584
classifier_aware,4,0.75,0.03,0.06,2.9892483284216036,1.0251332825590251,0.09996191926884997,0.5922823051535923,0.23134044173648133
classifier_aware,4,0.5,0.1,0.03,2.9893646278408235,1.020976136075146,0.10027925869510028,0.587014470677837,0.23197512058898198
classifier_aware,4,0.5,0.03,0.0,2.9895185229147345,1.0238321909113988,0.09996191926884997,0.5895531860878396,0.23273673521198274
classifier_aware,4,0.5,0.06,0.03,2.9895500236085963,1.0216425488702716,0.10053313023610053,0.5873952779893374,0.23248286367098248
classifier_aware,4,0.5,0.06,0.01,2.989603254063673,1.0221502919522722,0.10040619446560041,0.5882838283828383,0.23222899212998224
classifier_aware,4,0.75,0.1,0.0,2.989873333677052,1.0254506219852755,0.09875602944909875,0.5925361766945926,0.22930946940847932
classifier_aware,4,0.75,0.06,0.03,2.9899883188742544,1.0255140898705255,0.09964457984259964,0.5925996445798426,0.23051535922823052
classifier_aware,5,0.5,0.0,0.01,2.9901321274651407,1.0246890073622748,0.0978040111703478,0.5900609291698401,0.23045189134298044
classifier_aware,5,0.5,0.0,0.0,2.9904090694674745,1.0252284843869002,0.09748667174409749,0.5903782685960903,0.23032495557248034
classifier_aware,4,0.75,0.06,0.0,2.990488613215485,1.0262439705509012,0.09926377253109926,0.5933612592028433,0.22994414826097995
classifier_aware,4,0.5,0.1,0.0,2.990571238587307,1.021928154353897,0.09983498349834984,0.587966488956588,0.23178471693323177
classifier_aware,4,0.35,0.0,0.03,2.990803799248667,1.0202779893373952,0.10053313023610053,0.5826986544808327,0.23413302868748415
classifier_aware,5,0.5,0.0,0.03,2.9908730296475814,1.0242447321655241,0.09774054328509774,0.588981975120589,0.23007108403148008
classifier_aware,4,0.5,0.1,0.01,2.990947956551697,1.0216425488702716,0.09996191926884997,0.5873952779893374,0.23146737750698146
classifier_aware,5,0.5,0.1,0.06,2.9913281128423415,1.0206905305915206,0.09894643310484895,0.5858720487433359,0.2301980198019802
classifier_aware,4,0.75,0.06,0.01,2.9914165810690436,1.0258314292967758,0.09945417618684946,0.5925996445798426,0.22988068037572987
classifier_aware,4,0.35,0.0,0.0,2.992068537195316,1.0211348057882712,0.1011043412033511,0.5845392231530845,0.23483117542523482
classifier_aware,4,0.75,0.0,0.03,2.9920892937325516,1.0272911906575273,0.0985021579080985,0.5932977913175933,0.22994414826097995
classifier_aware,4,0.35,0.0,0.01,2.9921263293751723,1.0206587966488956,0.1011043412033511,0.5836506727595836,0.23464077176948464
classifier_aware,4,0.35,0.03,0.03,2.9921325322863863,1.0192625031733942,0.10116780908860117,0.5821274435135821,0.2348946433104849
classifier_aware,5,0.75,0.06,0.06,2.992487039440967,1.0255140898705255,0.0978040111703478,0.5917745620715917,0.2284209190149784
classifier_aware,4,0.75,0.03,0.01,2.992640597257046,1.026973851231277,0.09939070830159939,0.5933612592028433,0.23032495557248034
classifier_aware,5,0.5,0.06,0.06,2.9929427872204832,1.021864686468647,0.09932724041634933,0.5868875349073369,0.23121350596598123
classifier_aware,5,0.75,0.1,0.03,2.993382071234365,1.0256092916984005,0.09755013962934755,0.5917110941863417,0.22753236862147752
classifier_aware,5,0.75,0.0,0.06,2.993459752025699,1.0266882457476516,0.09812135059659813,0.5930439197765931,0.22975374460522976
classifier_aware,5,0.75,0.03,0.06,2.9940148985871344,1.0260853008377762,0.09818481848184818,0.5922823051535923,0.22943640517897942
classifier_aware,5,0.35,0.0,0.06,2.9943321203256783,1.0198337141406448,0.09958111195734957,0.5816831683168316,0.23387915714648388
classifier_aware,4,0.35,0.06,0.01,2.9944374038338526,1.0193894389438944,0.10085046966235085,0.582000507743082,0.23413302868748415
classifier_aware,4,0.75,0.0,0.01,2.994656174753125,1.0276402640264026,0.09881949733434882,0.5931708555470931,0.22988068037572987
classifier_aware,5,0.5,0.03,0.03,2.9947597840393874,1.0236735211982737,0.09881949733434882,0.5883472962680883,0.23083269865448083
classifier_aware,4,0.35,0.03,0.06,2.9947828174462443,1.0187547600913938,0.10135821274435136,0.58003300330033,0.23514851485148514
classifier_aware,5,0.5,0.03,0.01,2.9949089119202608,1.0245938055343995,0.0985021579080985,0.5892993145468393,0.23076923076923078
classifier_aware,4,0.35,0.03,0.01,2.9949600809221355,1.0202145214521452,0.10104087331810103,0.5826351865955827,0.2345138359989845
classifier_aware,4,0.75,0.03,0.0,2.994967627596294,1.0276719979690276,0.09888296521959888,0.592980451891343,0.22969027671997969
classifier_aware,4,0.35,0.06,0.0,2.995160406924027,1.0199289159685199,0.10078700177710079,0.5825082508250825,0.2341964965727342
classifier_aware,4,0.35,0.06,0.03,2.9952000025273935,1.0187864940340188,0.10104087331810103,0.5806676821528307,0.23425996445798425
classifier_aware,5,0.5,0.1,0.03,2.995354209565018,1.0224358974358974,0.09862909367859862,0.587014470677837,0.23032495557248034
